image_url,caption_title_and_reference_description,cleaned_caption
https://upload.wikimedia.org/wikipedia/commons/2/28/Deer_Park_Wisconsin_Downtown_WIS46.jpg,"Deer Park, Wisconsin [SEP] Downtown Deer Park",Deer Park Wisconsin Downtown Deer Park
https://upload.wikimedia.org/wikipedia/commons/0/09/Jurgen-ovens-justitia.jpg,"Jürgen Ovens [SEP] Jürgen Ovens's Justitia, 1663-1665, Museumsberg Flensburg. Ovens painted himself on the left.",Jrgen Ovens Jrgen Ovenss Justitia 16631665 Museumsberg Flensburg Ovens painted himself on the left
https://upload.wikimedia.org/wikipedia/commons/5/59/Mv_Agusta_250_RAID.jpg,MV Agusta [SEP] 1956 MV Agusta 250 Raid,MV Agusta 1956 MV Agusta 250 Raid
https://upload.wikimedia.org/wikipedia/commons/9/9b/Wolfe_City_October_2015_01_%28Wolfe_City_Public_Library%29.jpg,"Wolfe City, Texas [SEP] ",Wolfe City Texas
https://upload.wikimedia.org/wikipedia/commons/3/3d/The_Flintstones.png,The Flintstones [SEP] Seth MacFarlane's logo,The Flintstones Seth MacFarlanes logo
https://upload.wikimedia.org/wikipedia/commons/1/12/WiltshireCouncilTrowbridge.jpg,Wiltshire Council [SEP] ,Wiltshire Council
https://upload.wikimedia.org/wikipedia/commons/e/ed/LorneErskineRiver.jpg,Erskine River [SEP] Erskine River at Lorne,Erskine River Erskine River at Lorne
https://upload.wikimedia.org/wikipedia/commons/e/e9/Near-stars-past-future-en.svg,Interstellar probe [SEP] Stars are literally moving targets on the time scales current technology might reach them,Interstellar probe Stars are literally moving targets on the time scales current technology might reach them
https://upload.wikimedia.org/wikipedia/commons/a/ac/Poarta_Alba_jud_Constanta.jpg,Poarta Albă [SEP] Location in Constanța County,Poarta Alb Location in Constana County
http://upload.wikimedia.org/wikipedia/commons/1/1e/Engraved_portrait_of_Infante_Isabella.jpg,Jan Baptist Zangrius [SEP] ,Jan Baptist Zangrius
https://upload.wikimedia.org/wikipedia/commons/e/e6/Duffryn_Estate%2C_Newport_-_geograph.org.uk_-_612479.jpg,Duffryn [SEP] Partridge Way on the Duffryn Estate,Duffryn Partridge Way on the Duffryn Estate
